id,name,company,type,address,city,postal,state,lat,lon,profile_url
2215,Flexential Portland - Hillsboro 1 Data Center,Flexential,Colocation,3935 NE Aloclek Place,Hillsboro,97124,Oregon,45.5479366,-122.8905744,https://www.datacentermap.com/usa/oregon/portland/flexential-hillsboro/
9549,Flexential Portland - Hillsboro 5 Data Center,Flexential,Colocation,4975 NE Starr Blvd,Hillsboro,97124,Oregon,45.5564705,-122.9393305,https://www.datacentermap.com/usa/oregon/portland/flexential-hillsboro5/
8125,6675 NE 62nd Ave (PDX11),Digital Realty,Colocation,6675 NE 62nd Ave,Hillsboro,97124,Oregon,45.5682887,-122.9186757,https://www.datacentermap.com/usa/oregon/portland/6675-ne-62nd/
8811,Flexential Portland - Hillsboro 4 Data Center,Flexential,Colocation,4915 NE Starr Blvd,Hillsboro,97124,Oregon,45.5557411,-122.9381594,https://www.datacentermap.com/usa/oregon/portland/flexential-hillsboro4/
8535,NTT Hillsboro HI1,NTT Global Data Centers,Colocation,4050 NE Evergreen Road,Hillsboro,97124,Oregon,45.5420700382405,-122.5564812763986,https://www.datacentermap.com/usa/oregon/portland/ntt-hillsboro-hi1/
562,Digital Fortress Portland 2,Digital Fortress,Colocation,9705 SW Sunshine Court,Beaverton,97005,Oregon,45.475963,-122.776797,https://www.datacentermap.com/usa/oregon/portland/easystreet-online-services/
3782,STACK Infrastructure POR02A,STACK INFRASTRUCTURE,Colocation,8135 NE Evergreen Pkwy,Hillsboro,97124,Oregon,45.547232,-122.897295,https://www.datacentermap.com/usa/oregon/portland/fortune-oregon/
821,Digital Fortress Portland 1,Digital Fortress,Colocation,511 SW 10th Ave.,Portland,97205,Oregon,45.5211578,-122.6817361,https://www.datacentermap.com/usa/oregon/portland/infinity-internet/
7300,Opus Interactive Hillsboro Datacenter,Opus Interactive,Colocation,8135 NE Evergreen Parkway,Hillsboro,97124,Oregon,45.54740496161695,-122.8979104757309,https://www.datacentermap.com/usa/oregon/portland/hillsboro-datacenter/
5884,Digital Fortress Portland 3,Digital Fortress,Colocation,9610 SW Sunshine Ct,Beaverton,97005,Oregon,45.4756998,-122.7760368,https://www.datacentermap.com/usa/oregon/portland/atmosera2/
9547,EdgeConneX Portland - EDCPOR02,EdgeConneX,Colocation,6297 NE Evergreen Pkwy,Hillsboro,97124,Oregon,45.5480153,-122.9059554,https://www.datacentermap.com/usa/oregon/portland/edgeconnex-por02/
8710,H5 Data Centers Portland,H5 Data Centers,Colocation,1233 NW 12th Ave,Portland,97209,Oregon,45.53169159999999,-122.6838871,https://www.datacentermap.com/usa/oregon/portland/h5-portland/
5543,EdgeConneX Portland - EDCPOR01,EdgeConneX,Colocation,6327 NW Evergreen Pkwy,Hillsboro,97124,Oregon,45.5513199,-122.914901,https://www.datacentermap.com/usa/oregon/portland/edcpor01/
11639,Crane PDX01,Crane Data Centers,Colocation,3975 Heather St,Forest Grove,97116,Oregon,45.5147593,-123.0778233,https://www.datacentermap.com/usa/oregon/portland/crane-portland/
3438,Opus Interactive Portland Datacenter,Opus Interactive,Colocation,1225 W Burnside Street,Portland,97209,Oregon,45.5230694,-122.6836521,https://www.datacentermap.com/usa/oregon/portland/opus-portland/
8830,Pittock Block,1547 Critical Systems Realty,Colocation,921 SW Washington St,Portland,97205,Oregon,45.5214429,-122.6805969,https://www.datacentermap.com/usa/oregon/portland/pittock-ix/
7099,QTS Hillsboro 1 DC1,QTS Data Centers,Colocation,4951 NE Huffman Street,Hillsboro,97124,Oregon,45.5585229,-122.9276464,https://www.datacentermap.com/usa/oregon/portland/qts-hillsboro/
12766,Cogent Data Center - Portland,"Cogent Communications, Inc.",Colocation,2953 NW St Helens Rd,Portland,97210,Oregon,45.5438301,-122.7219127,https://www.datacentermap.com/usa/oregon/portland/cogent-data-center-portland/
597,DTS-NET Portland,DTS-NET,Colocation,SW Stark Street,Portland,97205,Oregon,45.521146,-122.677773,https://www.datacentermap.com/usa/oregon/portland/lightpoint-colocation/
5340,DirectSpace Datacenter,DirectSpace Networks,Colocation,921 SW Washington St,Portland,97205,Oregon,45.5215316,-122.6806928,https://www.datacentermap.com/usa/oregon/portland/dsone/
10223,Windstream Portland,Windstream,Colocation,707 SW Washington St,Portland,97205,Oregon,45.5210556,-122.6791797,https://www.datacentermap.com/usa/oregon/portland/windstream-portland/
5434,Lumen Portland 2,Lumen,Colocation,707 SW Washington Avenue,Portland,97205,Oregon,45.5210017,-122.6792039,https://www.datacentermap.com/usa/oregon/portland/level3-portland2/
1421,Lumen Cedar Hills,Lumen,Colocation,14197 SW Millikan Way,Cedar Hills,97005,Oregon,45.493568,-122.822645,https://www.datacentermap.com/usa/oregon/portland/twtc-cedar-hills/
5433,Lumen Portland 1,Lumen,Colocation,1335 NEW Northrup Street,Portland,97209,Oregon,45.531553,-122.685371,https://www.datacentermap.com/usa/oregon/portland/level3-portland1/
4092,Tata Communications Hillsboro,Tata Communications,Colocation,21101 NW Evergreen Parkway,Hillsboro,97124,Oregon,45.5465082,-122.8937878,https://www.datacentermap.com/usa/oregon/portland/tata-hillsboro/
498,Data Center West - Medford,"Data Center West, Inc",Colocation,739 Welch Drive,Medford,97501,Oregon,42.3319924,-122.8801209,https://www.datacentermap.com/usa/oregon/medford/data-center-west/
5610,Columbia 1,Fort Rock Data Center,Colocation,207 SW Columbia St,Bend,97702,Oregon,44.047105,-121.328075,https://www.datacentermap.com/usa/oregon/bend/columbia1/
5598,US Signal Bend OR01,"US Signal Company, LLC",Colocation,20845 Sockeye Pl,Bend,97701,Oregon,44.0860968,-121.2822149,https://www.datacentermap.com/usa/oregon/bend/oneneck-bend/
8671,5870 NE Schaaf Street (PDX12),Digital Realty,Colocation,5870 NE Schaaf Street,Hillsboro,97124,Oregon,45.5682887,-122.9186757,https://www.datacentermap.com/usa/oregon/hillsboro/5870-ne-schaaf/
9614,STACK Infrastructure POR03B,STACK INFRASTRUCTURE,Colocation,4735 NE Starr Blvd,Hillsboro,97124,Oregon,45.55416957403227,-122.9394152048049,https://www.datacentermap.com/usa/oregon/hillsboro/stack-infrastructure-por03b/
9219,Aligned PDX-01,Aligned Data Centers,Colocation,NE 30th Ave & NE Evergreen Rd,Hillsboro,97124,Oregon,45.55149367999162,-122.9478753739637,https://www.datacentermap.com/usa/oregon/hillsboro/aligned-pdx-01/
